Function,Dimension,Accuracy,P-Value
f13,d10,0.90,0.999116337848965
f13,d10,1.00,0.9999980454328777
f13,d30,0.50,2.2694860940934735e-07
f13,d30,0.60,1.969402736433294e-07
f13,d30,0.70,0.00011110131006840324
f13,d30,0.80,0.5323402885613897
f13,d30,0.90,0.9983326502803103
f13,d30,1.00,0.9999998523896602
f15,d10,0.50,0.038215472789770104
f15,d10,0.60,0.142652357953844
f15,d10,0.70,0.590929459757551
f15,d10,0.80,0.9787633084508869
f15,d10,0.90,0.9997053477251734
f15,d10,1.00,0.9999970691172946
f15,d30,0.50,3.3930193083693134e-08
f15,d30,0.60,3.3930193083693134e-08
f15,d30,0.70,6.164810647176969e-08
f15,d30,0.80,0.013270212698975858
f15,d30,0.90,0.999187371226874
f15,d30,1.00,0.9999999707854003
f1,d10,0.50,3.397807564086679e-08
f1,d10,0.60,0.9852795577939586
f1,d10,0.70,0.918202137194434
f1,d10,0.80,0.968053882536442
f1,d10,0.90,0.7796250582008286
f1,d10,1.00,0.9297901426472494
f1,d30,0.50,3.397807564086679e-08
f1,d30,0.60,0.9260767086428191
f1,d30,0.70,0.9999970632129521
f1,d30,0.80,0.9999997386557339
f1,d30,0.90,0.9999937474181485
f1,d30,1.00,0.9999999467715508
f2,d10,0.50,0.0022529022712798673
f2,d10,0.60,0.9999992121628901
f2,d10,0.70,0.9999999707854003
f2,d10,0.80,0.9999999707854003
f2,d10,0.90,0.9999999707854003
f2,d10,1.00,0.9999999707854003
f2,d30,0.50,0.9847719933902891
f2,d30,0.60,0.9999999707854003
f2,d30,0.70,0.9999999707854003
f2,d30,0.80,0.9999999707854003
f2,d30,0.90,0.9999999707854003
f2,d30,1.00,0.9999999707854003
f4,d10,0.50,3.397807564086679e-08
f4,d10,0.60,0.9999999726844447
f4,d10,0.70,0.9999999721702508
f4,d10,0.80,0.9999999784636268
f4,d10,0.90,0.9999999823309224
f4,d10,1.00,0.9999999823309224
f4,d30,0.50,3.397807564086679e-08
f4,d30,0.60,0.9999999707854003
f4,d30,0.70,0.9999999707854003
f4,d30,0.80,0.9999999707854003
f4,d30,0.90,0.9999999707854003
f4,d30,1.00,0.9999999707854003
f8,d10,0.50,3.38823691698822e-08
f8,d10,0.60,0.9999994463136421
f8,d10,0.70,0.9999995447382819
f8,d10,0.80,0.9999994023111431
f8,d10,0.90,0.999839662809351
f8,d10,1.00,0.9999997424727427
f8,d30,0.50,3.397807564086679e-08
f8,d30,0.60,0.6624929216747558
f8,d30,0.70,0.9999629679863419
f8,d30,0.80,0.9999944776439417
f8,d30,0.90,0.9999996996244588
f8,d30,1.00,0.9999962113094701
f13,d10,0.50,3.373924868679957e-08
f13,d10,0.60,0.9999982740805666
f13,d10,0.70,0.999999736268736
f13,d10,0.80,0.9999999761277187
f13,d10,0.90,0.9999998457535139
f13,d10,1.00,0.9999999709501552
f13,d30,0.50,3.397807564086679e-08
f13,d30,0.60,0.9999791711982436
f13,d30,0.70,0.9999999708269713
f13,d30,0.80,0.9999999710340551
f13,d30,0.90,0.9999999543260543
f13,d30,1.00,0.9999999709513756
f15,d10,0.50,1.707787846751859e-07
f15,d10,0.60,0.9617845272102299
f15,d10,0.70,0.9999454150727097
f15,d10,0.80,0.9999885181198755
f15,d10,0.90,0.9999738737848537
f15,d10,1.00,0.9997588906013314
f15,d30,0.50,3.397807564086679e-08
f15,d30,0.60,0.8957838936509215
f15,d30,0.70,0.9999929256014958
f15,d30,0.80,0.9990233258634853
f15,d30,0.90,0.9997454635409607
f15,d30,1.00,0.9999929256014958
